Rank,Name,Age,Net Worth,Country,Source,Industries
764,KE ZUNHONG & FAMILY,65,2.7,China,pharmaceuticals,Healthcare
764,ZARAKH ILIEV,53,2.7,Russia,real estate,Real Estate
764,CHANDRU RAHEJA,79,2.7,India,real estate,Real Estate
764,RALPH DOMMERMUTH,56,2.7,Germany,internet service provider,Technology
764,GEORG HAUB,58,2.7,Germany,retail,Fashion & Retail
764,ANTONY RESSLER,58,2.7,United States,finance,Finance & Investments
764,MARK WALTER,59,2.7,United States,finance,Finance & Investments
764,"HENRY NICHOLAS, III.",60,2.7,United States,semiconductors,Technology
764,JON STRYKER,61,2.7,United States,medical equipment,Healthcare
764,RICHARD TSAI,62,2.7,Taiwan,finance,Finance & Investments
764,BULAT UTEMURATOV,62,2.7,Kazakhstan,"mining, banking, hotels",Metals & Mining
764,JIMMY HASLAM,66,2.7,United States,"gas stations, retail",Fashion & Retail
764,MARIANNE LIEBMANN,66,2.7,United States,Cargill,Food & Beverage
764,JEFFREY LURIE,68,2.7,United States,Philadelphia Eagles,Sports
764,DON VULTAGGIO & FAMILY,68,2.7,United States,beverages,Food & Beverage
764,"AUSTEN CARGILL, II.",69,2.7,United States,Cargill,Food & Beverage
764,BOB PARSONS,69,2.7,United States,web hosting,Technology
764,SAMUEL YIN,69,2.7,Taiwan,retail,Diversified
764,"WILLIAM CONWAY, JR.",70,2.7,United States,private equity,Finance & Investments
764,"JAMES CARGILL, II.",71,2.7,United States,Cargill,Food & Beverage
764,ANTHONY BAMFORD & FAMILY,74,2.7,United Kingdom,construction equipment,Construction & Engineering
764,ALEJANDRO BULGHERONI,75,2.7,Argentina,oil & gas,Energy
764,HORST JULIUS PUDWILL,75,2.7,Germany,manufacturing,Manufacturing
764,HAIM SABAN,75,2.7,United States,"TV network, investments",Media & Entertainment
764,FRED SMITH,75,2.7,United States,FedEx,Logistics
764,BERNARD BROERMANN,76,2.7,Germany,hospitals,Healthcare
764,PETER KELLOGG,77,2.7,United States,investments,Finance & Investments
764,"DRAYTON MCLANE, JR.",83,2.7,United States,"Walmart, logistics",Fashion & Retail
764,ERWIN FRANZ MUELLER,87,2.7,Germany,drugstores,Fashion & Retail
764,VANICH CHAIYAWAN,88,2.7,Thailand,"insurance, beverages",Finance & Investments
764,NATHAN KIRSH,88,2.7,Eswatini (Swaziland),"retail, real estate",Fashion & Retail
804,JACK DORSEY,43,2.6,United States,"Twitter, Square",Technology
804,TRAVIS KALANICK,43,2.6,United States,Uber,Technology
804,HU BAIFAN,57,2.6,China,pharmaceuticals,Healthcare
804,LU ZHIQIANG,67,2.6,China,real estate,Real Estate
804,ZHANG LI,67,2.6,China,real estate,Real Estate
804,CLIFFORD ASNESS,53,2.6,United States,money management,Finance & Investments
804,DAN SNYDER,55,2.6,United States,Washington Redskins,Sports
804,THOMAS STRAUMANN,56,2.6,Switzerland,dental implants,Healthcare
804,PAWAN MUNJAL & FAMILY,66,2.6,India,motorcycles,Automotive
804,NOAM GOTTESMAN,58,2.6,United States,hedge funds,Finance & Investments
804,IVAR TOLLEFSEN,58,2.6,Norway,real estate,Real Estate
804,CHRIS LARSEN,59,2.6,United States,cryptocurrency,Finance & Investments
804,JIM COULTER,60,2.6,United States,private equity,Finance & Investments
804,JIM DAVIS,60,2.6,United States,staffing & recruiting,Service
804,LAWRENCE STROLL,60,2.6,Canada,fashion investments,Fashion & Retail
804,EVA MARIA BUCHER-HAEFNER,63,2.6,Switzerland,"software, investments",Technology
804,IVAN GLASENBERG,63,2.6,Switzerland,mining,Metals & Mining
804,RAJ KUMAR & KISHIN RK,65,2.6,Singapore,real estate,Real Estate
804,JOHN PRITZKER,66,2.6,United States,"hotels, investments",Finance & Investments
804,KIRAN MAZUMDAR-SHAW,67,2.6,India,biotech,Healthcare
804,TSAI HONG-TU,67,2.6,Taiwan,finance,Finance & Investments
804,JOHN HENRY,70,2.6,United States,sports,Sports
804,SEBASTIAN PIÑERA & FAMILY,70,2.6,Chile,investments,Finance & Investments
804,KUAN KAM HON & FAMILY,72,2.6,Malaysia,synthetic gloves,Manufacturing
804,WILLIAM BERKLEY,73,2.6,United States,insurance,Finance & Investments
804,MICHAEL PIEPER,74,2.6,Switzerland,kitchen appliances,Manufacturing
804,TY WARNER,75,2.6,United States,"real estate, plush toys",Real Estate
804,"JOHN DORRANCE, III.",76,2.6,Ireland,Campbell Soup,Food & Beverage
804,MICHEL LECLERCQ & FAMILY,80,2.6,France,sporting goods,Fashion & Retail
804,B. WAYNE HUGHES,86,2.6,United States,self storage,Service
804,GEORG NEMETSCHEK & FAMILY,86,2.6,Germany,software,Technology
804,SUMNER REDSTONE,96,2.6,United States,media,Media & Entertainment
836,GEOFFREY KWOK,34,2.5,Hong Kong,real estate,Real Estate
836,BRIAN ACTON,48,2.5,United States,WhatsApp,Technology
836,LUCA GARAVOGLIA,51,2.5,Italy,spirits,Food & Beverage
836,LIU ZHONGTIAN & FAMILY,56,2.5,China,aluminum products,Manufacturing
836,LI SHUIRONG,63,2.5,China,petrochemicals,Manufacturing
836,SUN SHOUKUAN,70,2.5,China,"metals, coal",Manufacturing
836,SAMVEL KARAPETYAN,54,2.5,Russia,real estate,Construction & Engineering
836,MICHAEL ASHLEY,55,2.5,United Kingdom,sports retailing,Fashion & Retail
836,PETER GASSNER,55,2.5,United States,software,Technology
836,HUANG YI,58,2.5,Hong Kong,car dealerships,Automotive
836,PETER UNGER,75,2.5,Germany,auto repair,Automotive
836,MONG-KOO CHUNG,82,2.5,South Korea,Hyundai,Automotive
836,PENNY PRITZKER,60,2.5,United States,"hotels, investments",Finance & Investments
836,MARK STEVENS,60,2.5,United States,venture capital,Finance & Investments
836,LI SZE LIM,63,2.5,Hong Kong,real estate,Real Estate
836,RENZO ROSSO & FAMILY,64,2.5,Italy,fashion,Fashion & Retail
836,ALAN TREFLER,64,2.5,United States,software,Technology
836,RAVI PILLAI,66,2.5,India,construction,Construction & Engineering
836,CHOO CHONG NGEN,66,2.5,Singapore,hotels,Real Estate
836,ROBERT ROWLING,66,2.5,United States,"hotels, investments",Service
836,OPRAH WINFREY,66,2.5,United States,TV shows,Media & Entertainment
836,JOHN CAUDWELL,67,2.5,United Kingdom,mobile phones,Telecom
836,TSAI CHENG-TA,70,2.5,Taiwan,finance,Finance & Investments
836,RAINER BLICKLE,72,2.5,Germany,auto parts,Manufacturing
836,MARTIN EBNER,74,2.5,Switzerland,investments,Finance & Investments
836,JASON CHANG,75,2.5,Singapore,electronics,Technology
836,MARITSA LAZARI & FAMILY,75,2.5,United Kingdom,real estate,Real Estate
836,JUDY FAULKNER,76,2.5,United States,health IT,Technology
836,BOB GAGLARDI,79,2.5,Canada,hotels,Real Estate
836,KWEK LENG BENG,79,2.5,Singapore,diversified,Diversified
836,TUNG CHEE HWA,82,2.5,Hong Kong,shipping,Logistics
836,MORTIMER ZUCKERMAN,82,2.5,United States,"real estate, media",Real Estate
836,PHILIPPE FORIEL-DESTEZET,84,2.5,France,employment agency,Service
836,PHIL RUFFIN,85,2.5,United States,"casinos, real estate",Diversified
836,HERB SIMON,85,2.5,United States,real estate,Real Estate
836,JOHNELLE HUNT,88,2.5,United States,trucking,Logistics
836,ARCHIE ALDIS EMMERSON & FAMILY,90,2.5,United States,"timberland, lumber mills",Manufacturing
836,ARTHUR IRVING,90,2.5,Canada,oil,Energy
836,SERGIO MANTEGAZZA,92,2.5,Switzerland,travel,Service
875,VIJAY SHEKHAR SHARMA,41,2.4,India,financial technology,Service
875,JERRY YANG,51,2.4,United States,Yahoo,Technology
875,SHUM CHIU HUNG & FAMILY,50,2.4,China,real estate,Real Estate
875,LIANG XINJUN,52,2.4,China,conglomerate,Diversified
875,LIU JINCHENG & FAMILY,55,2.4,China,lithium batteries,Technology
875,LIU HANYUAN,56,2.4,China,agribusiness,Food & Beverage
875,PEI ZHENHUA,61,2.4,China,batteries,Energy
875,ZHANG DAOCAI,70,2.4,China,valves,Diversified
875,RINAT AKHMETOV,53,2.4,Ukraine,"steel, coal",Metals & Mining
875,ALEXANDER FROLOV,55,2.4,Russia,"mining, steel",Metals & Mining
875,"EDWARD JOHNSON, IV.",55,2.4,United States,money management,Finance & Investments
875,ELIZABETH JOHNSON,56,2.4,United States,money management,Finance & Investments
875,"ERNEST GARCIA, II.",62,2.4,United States,used cars,Automotive
875,E. JOE SHOEN,70,2.4,United States,U-Haul,Automotive
875,NORMAN BRAMAN,87,2.4,United States,"art, car dealerships",Automotive
875,BRAD KELLEY,63,2.4,United States,tobacco,Real Estate
875,ZYGMUNT SOLORZ-ZAK,63,2.4,Poland,TV broadcasting,Media & Entertainment
875,DANIEL TSAI,63,2.4,Taiwan,finance,Finance & Investments
875,KWEK LENG KEE,65,2.4,Singapore,diversified,Diversified
875,JEFF ROTHSCHILD,65,2.4,United States,Facebook,Technology
875,RAKESH GANGWAL,66,2.4,United States,airline,Service
875,ALICIA KOPLOWITZ,66,2.4,Spain,"construction, investments",Finance & Investments
875,MICHAEL YING,70,2.4,Hong Kong,retail,Fashion & Retail
875,C. DEAN METROPOULOS,73,2.4,United States,investments,Food & Beverage
875,HAROLD HAMM & FAMILY,74,2.4,United States,oil & gas,Energy
875,KATSUMI TADA,74,2.4,Japan,real estate,Real Estate
875,HERBERT WERTHEIM,80,2.4,United States,investments,Finance & Investments
875,RICHARD PEERY,81,2.4,United States,real estate,Real Estate
875,GEORGE BISHOP,82,2.4,United States,oil & gas,Energy
875,PAUL GAUSELMANN & FAMILY,85,2.4,Germany,gambling,Gambling & Casinos
875,PRASERT PRASARTTONG-OSOTH,87,2.4,Thailand,hospitals,Healthcare
875,JEAN COUTU & FAMILY,92,2.4,Canada,drugstores,Fashion & Retail
875,ALBERTO ROEMMERS,93,2.4,Argentina,pharmaceuticals,Healthcare
908,GUSTAV MAGNAR WITZOE,26,2.3,Norway,fish farming,Food & Beverage
908,OTTO PHILIPP BRAUN,42,2.3,Germany,medical technology,Healthcare
908,YVONNE BAUER,43,2.3,Germany,media,Media & Entertainment
908,VIKTOR KHARITONIN,47,2.3,Russia,pharmaceuticals,Healthcare
908,GIL SHWED,51,2.3,Israel,software,Technology
908,OLEG DERIPASKA,52,2.3,Russia,"aluminum, utilities",Metals & Mining
908,JAMES PACKER,52,2.3,Australia,casinos,Gambling & Casinos
908,PETER THIEL,52,2.3,United States,"Facebook, Palantir",Finance & Investments
908,DONG FAN,50,2.3,China,medical devices,Healthcare
908,CHARLES ZHENGYAO LU,50,2.3,China,"coffee chain, car rentals",Service
908,WANG YANQING & FAMILY,54,2.3,China,electrical equipment,Manufacturing
908,LIU MING HUI,57,2.3,China,natural gas distribution,Energy
908,CAI DONGCHEN,67,2.3,China,pharmaceuticals,Healthcare
908,JEAN SALATA,54,2.3,Chile,finance,Finance & Investments
908,FERIT FAIK SAHENK,56,2.3,Turkey,diversified,Diversified
908,JEAN (GIGI) PRITZKER,57,2.3,United States,"hotels, investments",Service
908,JIM BREYER,58,2.3,United States,venture capital,Technology
908,ALEXANDER MAMUT,60,2.3,Russia,investments,Finance & Investments
908,DANIEL PRITZKER,60,2.3,United States,"hotels, investments",Service
908,WARREN STEPHENS,63,2.3,United States,investment banking,Finance & Investments
908,RAVI JAIPURIA,65,2.3,India,soft drinks,Food & Beverage
908,HORTENSIA HERRERO,69,2.3,Spain,supermarkets,Fashion & Retail
908,RICHARD SANDS,69,2.3,United States,liquor,Food & Beverage
908,LIN MING-HSIUNG,70,2.3,Taiwan,supermarkets,Fashion & Retail
908,KURT KRIEGER,72,2.3,Germany,furniture retailing,Fashion & Retail
908,STEPHAN SCHMIDHEINY,72,2.3,Switzerland,investments,Finance & Investments
908,STEWART RAHR,74,2.3,United States,drug distribution,Healthcare
908,RON BARON,76,2.3,United States,money management,Finance & Investments
908,YE CHENGHAI & FAMILY,76,2.3,Hong Kong,pharmaceuticals,Healthcare
908,CLAYTON MATHILE,79,2.3,United States,pet food,Food & Beverage
908,DAVID WALENTAS,81,2.3,United States,real estate,Real Estate
908,VIVEK CHAND BURMAN,82,2.3,India,consumer goods,Food & Beverage
908,ABILIO DOS SANTOS DINIZ,83,2.3,Brazil,retail,Fashion & Retail
908,CHARLES BRONFMAN,88,2.3,Canada,liquor,Food & Beverage
908,CHANG-WOO HAN & FAMILY,89,2.3,Japan,pachinko parlors,Gambling & Casinos
908,ANDREW & PEGGY CHERNG,,2.3,United States,restaurants,Food & Beverage
908,MAXIMILIAN VIESSMANN,,2.3,Germany,heating and cooling equipment,Manufacturing
945,JULIA OETKER,41,2.2,Germany,consumer goods,Fashion & Retail
945,BRIAN SHETH,44,2.2,United States,investments,Finance & Investments
945,BEN CHESTNUT,45,2.2,United States,email marketing,Technology
945,CARL FERDINAND OETKER,47,2.2,Germany,consumer goods,Fashion & Retail
945,DAN KURZIUS,48,2.2,United States,email marketing,Technology
945,ARVIND TIKU,50,2.2,India,"oil & gas, investments",Energy
945,ZHANG XUEZHENG,44,2.2,China,telecom,Technology
945,ALFRED OETKER,53,2.2,Germany,consumer goods,Fashion & Retail
945,BARRY ZEKELMAN,53,2.2,Canada,steel,Manufacturing
945,ZUO HUI,49,2.2,China,real estate services,Real Estate
945,LI ZHENGUO & FAMILY,52,2.2,China,photovoltaics,Manufacturing
945,OU ZONGRONG,56,2.2,China,real estate,Real Estate
945,PAN WEIMING,56,2.2,China,real estate,Real Estate
945,WU SHAOXUN,64,2.2,China,wine,Food & Beverage
945,JIANG WEIPING & FAMILY,65,2.2,China,chemicals,Manufacturing
945,TONG JINQUAN,65,2.2,China,real estate,Real Estate
945,GAO DEKANG & FAMILY,68,2.2,China,apparel,Fashion & Retail
945,SZE MAN BOK,70,2.2,China,hygiene products,Manufacturing
945,HUANG ZHENDA & FAMILY,72,2.2,China,construction,Construction & Engineering
945,MAO LIXIANG & FAMILY,79,2.2,China,cooking appliances,Technology
945,CHENG YIXIAO,,2.2,China,video streaming app,Media & Entertainment
945,GILLES MARTIN,56,2.2,France,laboratory services,Healthcare
945,TODD CHRISTOPHER,57,2.2,United States,hair care products,Fashion & Retail
945,JIM KAVANAUGH,57,2.2,United States,IT provider,Technology
945,ALEXANDER NESIS,57,2.2,Russia,"metals, banking, fertilizers",Finance & Investments
945,MITCHELL GOLDHAR,58,2.2,Canada,real estate,Real Estate
945,JOSEPH GRENDYS,58,2.2,United States,poultry processing,Food & Beverage
945,YASSEEN MANSOUR,58,2.2,Egypt,diversified,Diversified
945,WILLIAM LAUDER,59,2.2,United States,Estee Lauder,Fashion & Retail
945,JAMES DINAN,60,2.2,United States,hedge funds,Finance & Investments
945,JEFFERY HILDEBRAND,61,2.2,United States,oil,Energy
945,JON YARBROUGH,62,2.2,United States,video games,Gambling & Casinos
945,KAVITARK RAM SHRIRAM,63,2.2,United States,"venture capital, Google",Technology
945,BRUCE KARSH,64,2.2,United States,private equity,Finance & Investments
945,FARHAD MOSHIRI,64,2.2,United Kingdom,diversified,Diversified
945,KELCY WARREN,64,2.2,United States,pipelines,Energy
945,HARALD LINK,65,2.2,Thailand,diversified,Diversified
945,PHILIPPE GINESTET,66,2.2,France,retail stores,Fashion & Retail
945,T.Y. TSAI,67,2.2,Taiwan,finance,Finance & Investments
945,MICKY JAGTIANI,68,2.2,India,retail,Fashion & Retail
945,RICHARD OETKER,69,2.2,Germany,consumer goods,Fashion & Retail
945,MIUCCIA PRADA,70,2.2,Italy,luxury goods,Fashion & Retail
945,CHRISTIAN OETKER,71,2.2,Germany,consumer goods,Fashion & Retail
945,BERGIT DOUGLAS,73,2.2,Germany,consumer goods,Food & Beverage
945,HOWARD MARKS,73,2.2,United States,private equity,Finance & Investments
945,PATRIZIO BERTELLI,74,2.2,Italy,luxury goods,Fashion & Retail
945,TAHA MIKATI,75,2.2,Lebanon,telecom,Telecom
945,JAMES CLARK,76,2.2,United States,"Netscape, investments",Technology
945,AUGUST OETKER,76,2.2,Germany,consumer goods,Fashion & Retail
945,ROSELY SCHWEIZER,79,2.2,Germany,consumer goods,Fashion & Retail
945,HANS-WERNER HECTOR,80,2.2,Germany,SAP,Technology
945,LINDSAY FOX,82,2.2,Australia,"logistics, real estate",Logistics
945,TANG YIU,86,2.2,Hong Kong,fashion retail,Fashion & Retail
945,SCOTT LIN,87,2.2,Taiwan,optical components,Technology
945,DORIS FISHER,88,2.2,United States,Gap,Fashion & Retail
945,SHASHI & RAVI RUIA,,2.2,India,diversified,Diversified
1001,ADAM KWOK,37,2.1,Hong Kong,real estate,Real Estate
1001,ALEXEY REPIK,40,2.1,Russia,pharmaceuticals,Healthcare
1001,ANDRES SANTO DOMINGO,41,2.1,United States,beer,Food & Beverage
1001,ALEJANDRO SANTO DOMINGO,43,2.1,United States,beer,Food & Beverage
1001,JOSE FELICIANO,46,2.1,United States,private equity,Finance & Investments
1001,WESLEY BATISTA,47,2.1,Brazil,beef packing,Food & Beverage
1001,JOESLEY BATISTA,48,2.1,Brazil,beef processing,Food & Beverage
1001,NGUYEN THI PHUONG THAO,49,2.1,Vietnam,airlines,Diversified
1001,AERIN LAUDER,49,2.1,United States,cosmetics,Fashion & Retail
1001,JOHN COATES,50,2.1,United Kingdom,online gambling,Gambling & Casinos
1001,DMITRY KAMENSHCHIK,51,2.1,Russia,airport,Service
1001,DAVID FILO,53,2.1,United States,Yahoo,Technology
1001,FILIZ SAHENK,53,2.1,Turkey,diversified,Diversified
1001,LI WEIWEI,43,2.1,China,online games,Technology
1001,LI GAITENG,47,2.1,China,hair dryers,Manufacturing
1001,ZHANG XUANSONG,48,2.1,China,supermarkets,Fashion & Retail
1001,CHI YUFENG,49,2.1,China,software,Technology
1001,CHEN JINXIA,52,2.1,China,investments,Finance & Investments
1001,KONG JIAN MIN,52,2.1,China,real estate,Real Estate
1001,ZHAO WEIGUO,53,2.1,China,IT products,Technology
1001,LIN JIANHUA & FAMILY,57,2.1,China,solar panel components,Manufacturing
1001,SHEN GUOJUN,57,2.1,China,retail,Fashion & Retail
1001,CHEN KAIXUAN,61,2.1,China,household chemicals,Manufacturing
1001,LUO LIGUO & FAMILY,64,2.1,China,chemicals,Manufacturing
1001,HUI LIN CHIT,66,2.1,China,hygiene products,Manufacturing
1001,CHEN XUELI,68,2.1,China,pharmaceuticals,Healthcare
1001,WANG XICHENG & FAMILY,71,2.1,China,tires,Manufacturing
1001,ZHANG XUEXIN & FAMILY,72,2.1,China,aluminum,Metals & Mining
1001,ZHOU BAJIN,84,2.1,China,auto parts,Manufacturing
1001,STEFAN VON HOLTZBRINCK,56,2.1,Germany,publishing,Media & Entertainment
1001,MICHAEL JORDAN,57,2.1,United States,"Charlotte Hornets, endorsements",Sports
1001,JOHN FISHER,58,2.1,United States,Gap,Fashion & Retail
1001,IGOR MAKAROV,58,2.1,Russia,investments,Energy
1001,JEFFREY GUNDLACH,61,2.1,United States,investments,Finance & Investments
1001,ABDULLA AL FUTTAIM & FAMILY,,2.1,United Arab Emirates,"auto dealers, investments",Automotive
1001,MIKHAIL GUTSERIEV,62,2.1,Russia,"oil, real estate",Energy
1001,NAJIB MIKATI,64,2.1,Lebanon,telecom,Telecom
1001,CARLO FIDANI,65,2.1,Canada,real estate,Real Estate
1001,STEPHEN LANSDOWN,67,2.1,Guernsey,financial services,Finance & Investments
1001,LEONARD SCHLEIFER,67,2.1,United States,pharmaceuticals,Healthcare
1001,PHILIP & CRISTINA GREEN,68,2.1,United Kingdom,fashion retail,Fashion & Retail
1001,HUANG SHIH TSAI,68,2.1,Hong Kong,real estate,Real Estate
1001,ALCEU ELIAS FELDMANN,70,2.1,Brazil,fertilizer,Energy
1001,KUOK KHOON HONG,70,2.1,Singapore,palm oil,Manufacturing
1001,JAY PAUL,72,2.1,United States,real estate,Real Estate
1001,CHARLES ZEGAR,72,2.1,United States,Bloomberg LP,Media & Entertainment
1001,KRIT RATANARAK,73,2.1,Thailand,"media, real estate",Media & Entertainment
1001,DONALD TRUMP,73,2.1,United States,real estate,Real Estate
1001,MASATERU UNO & FAMILY,73,2.1,Japan,drugstores,Fashion & Retail
1001,HEIKKI KYOSTILA,74,2.1,Finland,dental products,Healthcare
1001,HENRY LAUFER,74,2.1,United States,hedge funds,Finance & Investments
1001,GERALD FORD,75,2.1,United States,banking,Finance & Investments
1001,HUSNU OZYEGIN,75,2.1,Turkey,"finance, diversified",Finance & Investments
1001,BILL AUSTIN,78,2.1,United States,hearing aids,Manufacturing
1001,CHRISTIAN LATOUCHE,79,2.1,France,accounting services,Finance & Investments
1001,WILLIAM YOUNG,79,2.1,United States,plastics,Manufacturing
1001,SUHAIL BAHWAN,81,2.1,Oman,diversified,Diversified
1001,TED TURNER,81,2.1,United States,cable television,Media & Entertainment
1001,CHARLES EDELSTENNE,82,2.1,France,aviation,Manufacturing
1001,JOHN ARRILLAGA,83,2.1,United States,real estate,Real Estate
1001,GORDON GETTY,86,2.1,United States,Getty Oil,Energy
1001,VINOD & ANIL RAI GUPTA,,2.1,India,electrical equipment,Manufacturing
1063,JONATHAN KWOK,28,2,Hong Kong,Real Estate,Real Estate
1063,CAROLINE HAGEN KJOS,36,2,Norway,conglomerate,Diversified
1063,DANIEL EK,37,2,Sweden,Spotify,Technology
1063,BEHDAD EGHBALI,43,2,United States,private equity,Finance & Investments
1063,MARTIN LAU,47,2,Hong Kong,e-commerce,Technology
1063,AMY WYSS,49,2,United States,medical equipment,Healthcare
1063,ALFRED GANTNER,52,2,Switzerland,private equity,Finance & Investments
1063,ERIK SELIN,52,2,Sweden,real estate,Real Estate
1063,ALEXANDER SVETAKOV,52,2,Russia,real estate,Finance & Investments
1063,THOR BJORGOLFSSON,53,2,Iceland,investments,Diversified
1063,BAHAA HARIRI,53,2,Lebanon,"real estate, investments",Real Estate
1063,LI YONGXIN & FAMILY,44,2,China,education,Service
1063,HE ZHAOXI,46,2,China,software,Technology
1063,YAN ZHI,47,2,China,real estate,Real Estate
1063,JI QI,53,2,China,"hotels, motels",Real Estate
1063,CHEN HUA,54,2,China,real estate,Real Estate
1063,LIN YINSUN,56,2,China,agribusiness,Food & Beverage
1063,GENG JIANMING,57,2,China,real estate,Real Estate
1063,SUN GUANGXIN,57,2,China,diversified,Diversified
1063,WU GUANGMING,58,2,China,medical equipment,Healthcare
1063,CAO LONGXIANG & FAMILY,62,2,China,pharmaceuticals,Healthcare
1063,ZHONG SHANSHAN,65,2,China,"beverages, pharmaceuticals",Food & Beverage
1063,MARCEL ERNI,55,2,Switzerland,private equity,Finance & Investments
1063,FIONA GEMINDER,55,2,Australia,manufacturing,Manufacturing
1063,TIAN MING,66,2,China,measuring instruments,Technology
1063,SHEN WENRONG,74,2,China,steel production,Metals & Mining
1063,XU CHUANHUA & FAMILY,85,2,China,"chemicals, logistics",Manufacturing
1063,KATHARINA OTTO-BERNSTEIN,56,2,Germany,real estate,Real Estate
1063,URS WIETLISBACH,58,2,Switzerland,private equity,Finance & Investments
1063,JOHN ARMITAGE,60,2,Ireland,hedge funds,Finance & Investments
1063,ALESSANDRA GARAVOGLIA,60,2,Italy,spirits,Food & Beverage
1063,PEDRO MOREIRA SALLES,60,2,Brazil,"banking, minerals",Diversified
1063,"H. ROSS PEROT, JR.",61,2,United States,real estate,Real Estate
1063,KONSTANTIN STRUKOV,61,2,Russia,"gold, coal mining",Metals & Mining
1063,GLENN DUBIN,62,2,United States,hedge funds,Finance & Investments
1063,LI PING,52,2,Hong Kong,batteries,Automotive
1063,CAROL JENKINS BARNETT,63,2,United States,Publix supermarkets,Food & Beverage
1063,STEIN ERIK HAGEN,63,2,Norway,consumer goods,Fashion & Retail
1063,HERBERT SY,63,2,Philippines,diversified,Diversified
1063,PAT STRYKER,64,2,United States,medical equipment,Healthcare
1063,HANS SY,64,2,Philippines,diversified,Diversified
1063,VINCENT VIOLA,64,2,United States,electronic trading,Finance & Investments
1063,VINOD KHOSLA,65,2,United States,venture capital,Technology
1063,LINDA PRITZKER,66,2,United States,"hotels, investments",Service
1063,KOOS BEKKER,67,2,South Africa,"media, investments",Media & Entertainment
1063,ALEC GORES,67,2,United States,private equity,Finance & Investments
1063,LIM KOK THAY,68,2,Malaysia,casinos,Gambling & Casinos
1063,DERMOT DESMOND,69,2,Ireland,finance,Finance & Investments
1063,MICHAEL LEE-CHIN,69,2,Canada,mutual funds,Finance & Investments
1063,ALEXANDRE GRENDENE BARTELLE,70,2,Brazil,shoes,Fashion & Retail
1063,RODNEY SACKS,70,2,United States,energy drinks,Food & Beverage
1063,CHEN TEI-FU,71,2,Taiwan,herbal products,Fashion & Retail
1063,KENNETH FELD & FAMILY,71,2,United States,live entertainment,Media & Entertainment
1063,CARLOS HANK RHON,72,2,Mexico,banking,Diversified
1063,MADHUKAR PAREKH,73,2,India,adhesives,Manufacturing
1063,CHO TAK WONG,73,2,Hong Kong,auto parts,Manufacturing
1063,JORGE MOLL FILHO,75,2,Brazil,hospitals,Healthcare
1063,THOMAS LEE,76,2,United States,private equity,Finance & Investments
1063,RONALD WANEK,78,2,United States,furniture,Manufacturing
1063,ENNIO DORIS & FAMILY,79,2,Italy,financial services,Finance & Investments
1063,LIN CHANG SU-O,79,2,Taiwan,real estate,Real Estate
1063,RUDY MA,79,2,Taiwan,finance,Finance & Investments
1063,KERRY STOKES,79,2,Australia,"construction equipment, media",Diversified
1063,HANS MELCHERS,81,2,Netherlands,"chemicals, investments",Finance & Investments
1063,GIULIANA BENETTON,82,2,Italy,"fashion retail, investments",Fashion & Retail
1063,LUCIANO BENETTON,84,2,Italy,"fashion retail, investments",Fashion & Retail
1063,T. DENNY SANFORD,84,2,United States,"banking, credit cards",Finance & Investments
1063,STANLEY HUBBARD,86,2,United States,DirecTV,Media & Entertainment
1063,DAVID GOTTESMAN,93,2,United States,investments,Finance & Investments
1063,S. DANIEL ABRAHAM,95,2,United States,Slim-Fast,Food & Beverage
1063,DAVID MURDOCK,96,2,United States,"Dole, real estate",Food & Beverage
1063,MARCOS GALPERIN,,2,Argentina,e-commerce,Technology
1135,EVAN SPIEGEL,29,1.9,United States,Snapchat,Technology
1135,BOBBY MURPHY,31,1.9,United States,Snapchat,Technology
1135,FORREST LI,42,1.9,Singapore,gaming,Media & Entertainment
1135,YUSAKU MAEZAWA,44,1.9,Japan,online retail,Technology
1135,MIRIAM BAUMANN-BLOCHER,45,1.9,Switzerland,chemicals,Manufacturing
1135,CHU LAM YIU,50,1.9,Hong Kong,flavorings,Manufacturing
1135,LARRY ROBBINS,50,1.9,United States,hedge funds,Finance & Investments
1135,GEORG VON OPEL,53,1.9,Switzerland,"real estate, investments",Finance & Investments
1135,BRUCE FLATT,54,1.9,Canada,money management,Finance & Investments
1135,MICHAEL TOJNER,54,1.9,Austria,"batteries, investments",Manufacturing
1135,ZENG KAITIAN,45,1.9,China,online games,Technology
1135,LIANG YUNCHAO,51,1.9,China,nutritional supplements,Food & Beverage
1135,LI GUOQIANG,56,1.9,China,auto dealerships,Automotive
1135,WANG CHAOBIN,64,1.9,China,real estate,Real Estate
1135,WU XUSHUN & FAMILY,71,1.9,China,"internet, auto parts",Diversified
1135,RUAN SHUILONG & FAMILY,84,1.9,China,chemicals,Manufacturing
1135,JOAO MOREIRA SALLES,58,1.9,Brazil,"banking, minerals",Diversified
1135,CARLOS SANCHEZ,58,1.9,Brazil,generic drugs,Healthcare
1135,RAKESH JHUNJHUNWALA,59,1.9,India,investments,Finance & Investments
1135,HARLEY SY,60,1.9,Philippines,diversified,Diversified
1135,GAVRIL YUSHVAEV,62,1.9,Russia,"precious metals, real estate",Finance & Investments
1135,WALTHER MOREIRA SALLES JUNIOR,63,1.9,Brazil,"banking, minerals",Finance & Investments
1135,WU JIANSHU,56,1.9,Hong Kong,auto parts,Automotive
1135,HAO HONG,64,1.9,United States,pharmaceuticals,Healthcare
